time	trial	cursor_x	cursor_y	hand_x	hand_Y	rotation	step	target_angle	targetpos_x	targetpos_y	garagelocation	garagepos_x	garagepos_y	homepos_x	homepos_y	group	trial_type
9.5367431640625e-07	4	-0.27976190476190477	-5.1196428571428569	-0.27976190476190477	-5.1196428571428569	0	5	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.02967691421508789	4	-0.11190476190476191	-5.371428571428571	-0.11190476190476191	-5.371428571428571	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.0463259220123291	4	0.027976190476190477	-5.5392857142857146	0.027976190476190477	-5.5392857142857146	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.062376976013183594	4	0.13988095238095238	-5.6511904761904761	0.13988095238095238	-5.6511904761904761	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.08126187324523926	4	0.22380952380952382	-5.7351190476190474	0.22380952380952382	-5.7351190476190474	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.09544801712036133	4	0.27976190476190477	-5.8190476190476188	0.27976190476190477	-5.8190476190476188	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.11262989044189453	4	0.30773809523809526	-5.8470238095238098	0.30773809523809526	-5.8470238095238098	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.13087987899780273	4	0.30773809523809526	-5.8470238095238098	0.30773809523809526	-5.8470238095238098	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.14540505409240723	4	0.30773809523809526	-5.8470238095238098	0.30773809523809526	-5.8470238095238098	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.16273093223571777	4	0.30773809523809526	-5.8470238095238098	0.30773809523809526	-5.8470238095238098	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.17926907539367676	4	0.30773809523809526	-5.8470238095238098	0.30773809523809526	-5.8470238095238098	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.19540786743164062	4	0.30773809523809526	-5.8470238095238098	0.30773809523809526	-5.8470238095238098	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.21277594566345215	4	0.30773809523809526	-5.8470238095238098	0.30773809523809526	-5.8470238095238098	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.22962188720703125	4	0.30773809523809526	-5.8470238095238098	0.30773809523809526	-5.8470238095238098	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.2455599308013916	4	0.30773809523809526	-5.8470238095238098	0.30773809523809526	-5.8470238095238098	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.2620429992675781	4	0.30773809523809526	-5.8190476190476188	0.30773809523809526	-5.8190476190476188	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.27871108055114746	4	0.27976190476190477	-5.6511904761904761	0.27976190476190477	-5.6511904761904761	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.29727888107299805	4	0.11190476190476191	-5.2315476190476193	0.11190476190476191	-5.2315476190476193	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.31207895278930664	4	-0.30773809523809526	-4.0845238095238097	-0.30773809523809526	-4.0845238095238097	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.3283848762512207	4	-0.8392857142857143	-2.4059523809523808	-0.8392857142857143	-2.4059523809523808	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.34598708152770996	4	-1.3148809523809524	-0.33571428571428541	-1.3148809523809524	-0.33571428571428569	0	1	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.3619539737701416	4	-1.7345238095238096	1.7904761904761903	-1.7345238095238096	1.7904761904761906	0	2	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
0.3784918785095215	4	-2.182142857142857	4.0005952380952383	-2.1821428571428569	4.0005952380952383	0	2	105	-3.1058285412302502	5.9958718202307253	-1	-12.105828541230251	4.9958718202307253	0.0	-5.5952380952380949	1	1
